protein_a,protein_b,interaction_score,experiment_approach,pubmed_id,GO_a,GO_b
b0424,b1714,509,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0000049|GO:0000287|GO:0004812|GO:0004826|GO:0005515|GO:0005524|GO:0005737|GO:0005829|GO:0006412|GO:0006432|GO:0009328|GO:0046872
b0424,b3339,834,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0003723|GO:0003746|GO:0003924|GO:0005515|GO:0005525|GO:0005737|GO:0005886|GO:0006412|GO:0006414|GO:0032045|GO:0046677|GO:0097216
b0424,b3980,508,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0003723|GO:0003746|GO:0003924|GO:0005515|GO:0005525|GO:0005737|GO:0005886|GO:0006412|GO:0006414|GO:0032045|GO:0046677|GO:0097216
b0424,b1237,499,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0000976|GO:0001217|GO:0003677|GO:0003680|GO:0003681|GO:0003723|GO:0005515|GO:0005667|GO:0005737|GO:0005829|GO:0006355|GO:0006417|GO:0009295|GO:0016020|GO:0030527|GO:0032993|GO:0036386|GO:0036411|GO:0042802|GO:0045892|GO:0046983|GO:0097495|GO:1900232|GO:1990121
b0424,b0683,500,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0000976|GO:0001216|GO:0001217|GO:0003677|GO:0003700|GO:0005737|GO:0005829|GO:0006355|GO:0008270|GO:0032993|GO:0043565|GO:0045892|GO:0045893|GO:0046872|GO:1900705
b0424,b0345,502,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0000976|GO:0000987|GO:0001217|GO:0003677|GO:0003700|GO:0005829|GO:0006355|GO:0042802|GO:0045892
b0424,b3418,499,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0003677|GO:0003700|GO:0005515|GO:0005524|GO:0006355|GO:0042802|GO:0045893|GO:0045913|GO:0048031
b0424,b1324,585,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0004601|GO:0005515|GO:0005737|GO:0005829|GO:0008379|GO:0032843|GO:0034599|GO:0042597|GO:0098869|GO:0140824
b0424,b1779,660,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0000166|GO:0004365|GO:0005515|GO:0005737|GO:0005829|GO:0006006|GO:0006096|GO:0016020|GO:0016491|GO:0016620|GO:0042802|GO:0050661|GO:0051287
b0424,b1241,510,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0004022|GO:0005515|GO:0005829|GO:0006066|GO:0006115|GO:0006979|GO:0008198|GO:0008774|GO:0015976|GO:0016020|GO:0016491|GO:0016616|GO:0018455|GO:0019664|GO:0042802|GO:0046872|GO:0051260
b0424,b2416,508,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0005515|GO:0005737|GO:0005829|GO:0008965|GO:0009401|GO:0016301|GO:0016310|GO:0042802|GO:0046872
b0424,b1415,499,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0004777|GO:0005829|GO:0008911|GO:0009450|GO:0016491|GO:0016620|GO:0019301|GO:0019317|GO:0032991|GO:0042355|GO:0042802|GO:0050569
b0424,b0114,832,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0000287|GO:0004738|GO:0004739|GO:0005515|GO:0005829|GO:0016020|GO:0016491|GO:0030976|GO:0036094|GO:0042802|GO:0042803|GO:0042867|GO:0045254|GO:0046872|GO:0060090
b0424,b0726,499,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0000166|GO:0000287|GO:0004591|GO:0005515|GO:0005737|GO:0005829|GO:0006099|GO:0016491|GO:0016624|GO:0030976|GO:0042802|GO:0045252
b0424,b3708,832,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0003824|GO:0005515|GO:0005737|GO:0005829|GO:0006568|GO:0006569|GO:0009034|GO:0016020|GO:0016829|GO:0030170|GO:0030955|GO:0032991|GO:0042431|GO:0042802|GO:0060187|GO:0080146
b0424,b1276,501,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0003723|GO:0003729|GO:0003730|GO:0003994|GO:0005506|GO:0005737|GO:0005829|GO:0006097|GO:0006099|GO:0006101|GO:0006979|GO:0009061|GO:0016829|GO:0030350|GO:0046872|GO:0051539
b0424,b0118,499,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0003723|GO:0003729|GO:0003730|GO:0003994|GO:0005515|GO:0005829|GO:0006097|GO:0006099|GO:0006417|GO:0016829|GO:0019629|GO:0046872|GO:0047456|GO:0051539
b0424,b0724,627,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0005515|GO:0005886|GO:0006099|GO:0008177|GO:0009055|GO:0009060|GO:0016020|GO:0016491|GO:0019646|GO:0022904|GO:0046872|GO:0051536|GO:0051537|GO:0051538|GO:0051539
b0424,b2283,510,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0003954|GO:0005515|GO:0005737|GO:0005886|GO:0008137|GO:0009060|GO:0010181|GO:0016020|GO:0022904|GO:0030964|GO:0042773|GO:0043546|GO:0045271|GO:0045333|GO:0046872|GO:0048038|GO:0051536|GO:0051537|GO:0051539|GO:1902600|GO:1990204
b0424,b3894,499,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0005515|GO:0005829|GO:0005886|GO:0006788|GO:0006974|GO:0008863|GO:0009055|GO:0009061|GO:0009326|GO:0015944|GO:0016020|GO:0016491|GO:0019645|GO:0030151|GO:0036397|GO:0042597|GO:0043546|GO:0045333|GO:0046872|GO:0047111|GO:0051539
b0424,b2925,547,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0004332|GO:0005515|GO:0005829|GO:0006094|GO:0006096|GO:0008270|GO:0016829|GO:0042802|GO:0042803|GO:0046872
b0424,b1086,502,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0000455|GO:0001522|GO:0003723|GO:0005829|GO:0006364|GO:0009982|GO:0016853|GO:0120159|GO:0160141
b0424,b0911,523,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0000028|GO:0002181|GO:0003723|GO:0003727|GO:0003729|GO:0003735|GO:0005737|GO:0005840|GO:0006412|GO:0010501|GO:0016020|GO:0022627|GO:1990904|GO:2000766|GO:2000767
b0424,b0169,834,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0000028|GO:0002181|GO:0003735|GO:0005515|GO:0005737|GO:0005840|GO:0006412|GO:0008270|GO:0015935|GO:0022627|GO:1990904
b0424,b3314,550,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0000028|GO:0002181|GO:0003723|GO:0003729|GO:0003735|GO:0005737|GO:0005829|GO:0005840|GO:0006412|GO:0019843|GO:0022627|GO:1990904
b0424,b3296,526,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0000028|GO:0000900|GO:0002181|GO:0003735|GO:0005515|GO:0005737|GO:0005829|GO:0005840|GO:0006353|GO:0006412|GO:0006417|GO:0015935|GO:0019843|GO:0022627|GO:0031564|GO:0042254|GO:0042274|GO:0045947|GO:0046677|GO:0048027|GO:1990145|GO:1990904
b0424,b3306,526,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0000028|GO:0002181|GO:0003735|GO:0005737|GO:0005829|GO:0005840|GO:0006412|GO:0006417|GO:0019843|GO:0022627|GO:0043488|GO:1990904
b0424,b3321,843,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0000049|GO:0001072|GO:0002181|GO:0003723|GO:0003735|GO:0005515|GO:0005737|GO:0005829|GO:0005840|GO:0006412|GO:0015935|GO:0022627|GO:0031564|GO:0032784|GO:0042254|GO:1990904
b0424,b3297,534,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0002181|GO:0003735|GO:0005515|GO:0005737|GO:0005829|GO:0005840|GO:0006412|GO:0019843|GO:0022627|GO:0070181|GO:1990904
b0424,b3342,507,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0000049|GO:0000372|GO:0002181|GO:0003735|GO:0005515|GO:0005737|GO:0005829|GO:0005840|GO:0006412|GO:0015935|GO:0019843|GO:0022627|GO:0033120|GO:0034336|GO:0034337|GO:0046677|GO:1990145|GO:1990904
b0424,b3316,836,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0000028|GO:0000049|GO:0002181|GO:0003723|GO:0003735|GO:0005737|GO:0005829|GO:0005840|GO:0006412|GO:0015935|GO:0019843|GO:0022627|GO:1990904
b0424,b3317,540,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0000027|GO:0002181|GO:0003723|GO:0003735|GO:0005515|GO:0005737|GO:0005829|GO:0005840|GO:0006412|GO:0008270|GO:0015934|GO:0016740|GO:0019843|GO:0022625|GO:0032297|GO:1990082|GO:1990904
b0424,b3308,836,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0000027|GO:0000049|GO:0002181|GO:0003723|GO:0003735|GO:0005737|GO:0005829|GO:0005840|GO:0006412|GO:0008097|GO:0019843|GO:0022625|GO:1990904
b0424,b3305,526,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0000027|GO:0002181|GO:0003735|GO:0005737|GO:0005829|GO:0005840|GO:0006412|GO:0019843|GO:0022625|GO:0046677|GO:0070180|GO:1990904
b0424,b3985,505,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0002181|GO:0003735|GO:0003924|GO:0005515|GO:0005737|GO:0005829|GO:0005840|GO:0006412|GO:0006417|GO:0015934|GO:0017148|GO:0019843|GO:0022625|GO:0043022|GO:0070180|GO:1990904
b0424,b3983,530,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0000027|GO:0002181|GO:0003735|GO:0005515|GO:0005737|GO:0005829|GO:0005840|GO:0006412|GO:0006415|GO:0015968|GO:0019843|GO:0022625|GO:0070180|GO:1990904
b0424,b3986,527,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0002181|GO:0003729|GO:0003735|GO:0003924|GO:0005515|GO:0005737|GO:0005829|GO:0005840|GO:0006412|GO:0015934|GO:0022625|GO:0042803|GO:0043022|GO:1990904
b0424,b3231,839,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0002181|GO:0003729|GO:0003735|GO:0005737|GO:0005829|GO:0005840|GO:0006412|GO:0008270|GO:0017148|GO:0022625|GO:0048027|GO:0070180|GO:1990904
b0424,b3310,838,Affinity Capture-MS,PUBMED:22157000,GO:0005737|GO:0005829|GO:0006281|GO:0009228|GO:0009408|GO:0016787|GO:0030091|GO:0034599|GO:0036524|GO:0042026|GO:0042254|GO:0042803,GO:0002181|GO:0003735|GO:0005515|GO:0005737|GO:0005829|GO:0005840|GO:0006412|GO:0015934|GO:0019843|GO:0022625|GO:0070180|GO:1990904
